Component,Part Number,Description,Quantity
650-14228 : McAfee(R) Security Center(TM) (Multi-Language) - 15 Months P romo Version,V6ND7,"Module,Software,MCAF11,15MTH,W8,Extended Manufacturers",1
630-15389 : Microsoft(R) Office trial,00009,"Information,Generic,Part      Number",1
,00009,"Information,Generic,Part      Number",1
630-15071 : Microsoft(R) Office 2010 Softw are Image,N2C16,"Module,Software,OFC-2010T,Factory Install",1
,W3R2K,"INFO,WINRE-ADDR,1500,MB-PTN",0
,KPCKY,"SRV,SW,OFC-2010T,MLANG",0
,W3R2K,"INFO,WINRE-ADDR,1500,MB-PTN",0
,KPCKY,"SRV,SW,OFC-2010T,MLANG",0
620-12323 : OS Media Kit Not Included,MX962,"Module,Information,NO MEDIA",1
,864KE,"Information,PLACEHOLDER       PIECE-PART",0
,864KE,"Information,PLACEHOLDER       PIECE-PART",0
"619-38082 : Windows 8 Single Language, Eng lish (64bit)",XMXG1,"MOD,SW,W8EM64,ENG,APCC",1
,0616F,"INFO,BOOT,GPT,OVERRIDE",0
,2XK0V,"INFO,WINRE-BASE,750,MB-PTN",0
,HFH50,"SRV,OS,W8EM64,ENG",0
,JW1M2,"INFO,IE@V,100000",0
,N2Y9J,"INFO,.NET@V,45000",0
,PJ289,"INFO,VPEPR",0
,T2673,"Service Charge,Operating      System,Windows XP             OCA-MARKER",0
,TM318,"INFO,SLP2,ENABLE,WINDOWS",0
,W728F,"SRV,OS,IE,INSTALLER",0
,WHHTX,"INFO,WIN8",0
,X278C,"SRV,OS,DOTNET,INSTALLER",0
,XP9T9,"INFO,BOOT,CNTNR,GPT",0
,T2673,"Service Charge,Operating      System,Windows XP             OCA-MARKER",0
,TM318,"INFO,SLP2,ENABLE,WINDOWS",0
,W728F,"SRV,OS,IE,INSTALLER",0
,WHHTX,"INFO,WIN8",0
,X278C,"SRV,OS,DOTNET,INSTALLER",0
,XP9T9,"INFO,BOOT,CNTNR,GPT",0
619-38073 : Windows 8 Microsoft Patch,NR5YV,"MOD,SW,QFE,WIN8",1
616-10838 : Windows 8 Single Language Digi tal Product Key,3MDNM,"MOD,SW,DPK,W8EM32/64",1
,KMN19,"DPK,OperatingSystem,W8EM32/64",1
583-15830 : Dell(TM) chiclet Keyboard with  Touchpad and num pad (English ),0RKPN,"MOD,KYBD,102,US-INTL,C14SN",1
,9D97X,"KYBD,102,US-INTL,C14SN",1
555-14079 : Dell(TM) Wireless 1703 802.11b /g/n with Bluetooth v4.0,7MMY3,"MOD,CRD,NTWK,DW1703,CNB,WW",1
,FXP0D,"CRD,WRLES,HMC,DW1703,BGN,WW",1
525-10032 : Dell Digital Delivery Cirrus C lient,P6XPR,"Module,Software,CRRS,Multiple User Interface",1
,C2N45,"INFO,SW,CRRS,UPDATE",0
,YR2T2,"SRV,SW,CRRS,MUI",0
,C2N45,"INFO,SW,CRRS,UPDATE",0
,YR2T2,"SRV,SW,CRRS,MUI",0
510-10467 : Stereo Speakers with Waves Max xAudio(R) 4.0,00009,"Information,Generic,Part      Number",1
510-10443 : Integrated single digital micr ophone,00009,"Information,Generic,Part      Number",1
490-14126 : AMD Radeon(TM) HD 7670M with 1 GB DDR3 VRAM,00009,"Information,Generic,Part      Number",1
460-11963 : Shipment Box - Brown,NRWYD,"MOD,SHP MTL,NBK,15",1
,JG9RW,"SHP MTL,CSHN,NBK,15,BTM",1
,5MJ24,"SHP MTL,BAG,NBK,12.5X18,PLYFM",1
,6RNPM,"SHP MTL,BOX,ACC,NBK,15",1
,8VK5R,"SHP MTL,BOX,SYSM,NBK,15",1
,90XKD,"SHP MTL,CSHN,NBK,15,TOP",1
,CPVKY,"SHP MTL,DOC,PAD,NBK,15",1
,D4N6H,"SHP MTL,FOAM,NBK,LCD,15",1
451-11990 : 4-cell Lithium Ion (40WHr) Bat tery,N121Y,"Module,Battery,Primary,40WHR,4C,SIMPLO",1
,T1G4M,"BTRY,PRI,40WHR,4C,LITH,LGC",1
450-18567 : 90W AC Adapter,PJF15,"Module,Adapter,Alternating Current,90W,Liteon,3P,Pwa Integrated,V2",1
,Y4M8K,"Adapter,Alternating Current,90W,Liteon,3P,Pwa Integrated,WW ,V2",1
450-14792 : Power Cord (India),X213C,"MOD,CORD,PWR,250V,1M,C5,IDA",1
,K257C,"CORD,PWR,250V,2.5A,1M,C5,IDA",1
429-16544 : Tray load DVD Drive (Reads and  Writes DVD),VMKFD,"Module,Dvd+/-Rw,8X,Toshiba Samsung Storage Technology,BARE,Across Line Of Business",1
,FC5GR,"DVD+/-RW,8X,9.5,SATA,TRAY,TSST",1
